Month,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Jan,9.1,8.3,8,6.6,5.7,4.8,4.7,4,4,3.5,6.3
Feb,9,8.3,7.7,6.7,5.5,4.9,4.6,4.1,3.8,3.5,6.2
Mar,9,8.2,7.5,6.7,5.4,5,4.4,4,3.8,4.4,
Apr,9.1,8.2,7.6,6.2,5.4,5.1,4.5,4,3.7,14.8,
May,9,8.2,7.5,6.3,5.6,4.8,4.4,3.8,3.7,13.3,
Jun,9.1,8.2,7.5,6.1,5.3,4.9,4.3,4,3.6,11.1,
Jul,9,8.2,7.3,6.2,5.2,4.8,4.3,3.8,3.6,10.2,
Aug,9,8.1,7.2,6.1,5.1,4.9,4.4,3.8,3.7,8.4,
Sep,9,7.8,7.2,5.9,5,5,4.2,3.7,3.5,7.8,
Oct,8.8,7.8,7.2,5.7,5,4.9,4.1,3.8,3.6,6.9,
Nov,8.6,7.7,6.9,5.8,5.1,4.7,4.2,3.8,3.6,6.7,
Dec,8.5,7.9,6.7,5.6,5,4.7,4.1,3.9,3.6,6.7,